text,label
餐廳的裝潢很明亮，給人一種精神、正氣、舒服的感覺，而且帶有少少西方的味道。但有趣的是，食物有部分是非常有中國味道的，例如濃茶、雪蓮、桃膠等等。 今次點了兩個食物，畢竟只有兩個人，分別是觀音冰和墨西哥粟米片。墨西哥粟米片$54，份量不過不失，非常之脆，再配上牛油果醬和蕃茄沙沙，牛油果醬感覺很濃郁但不會太過膩，而蕃茄沙沙則帶有少許酸酸甜甜的味道，給人一種新鮮而減飽滯的感覺，是一道很開胃的前菜。觀音冰 $82，名字非常幽默，也是店家的星級之選。刨冰淋上了特濃的鐵觀音醬汁，再有大大少少的牛油在刨冰上和中間，而𥚃面有鐵觀音冰淇淋。味道也很不錯，牛油果加上茶的味道很有新鮮感，不會很有衝突感，刨冰也給人一種透心涼的感覺。,2
黃大仙中心南館裝修後新開左好多食店 今次去左試呢間和氣食堂 見佢下午茶好似幾抵食諗住試下 試左$36 油揚烏冬 再外加 $14 兩個小食 （圖中只影了一個小食） 小食我選擇左 炸蝦卷（有三件）及蟹肉薯餅（名字大約是這樣，一件） 烏冬味道偏淡，但唔味精👍🏼 但薯餅暖的感覺唔太「新鮮」 蝦卷還好 但相比起元氣 差一點 但基於價錢唔算太貴  整體食物評價 中級 但服務態度就唔太okay 有位服務員（唔形容係點樣）態度好求其，帶位禮貌冇乜都算，仲要有少少黑面 希望只係咁岩對我係咁🌚 唯一最好係唔加一😂,2
朋友生日要搵地方食飯，一大班人要搵地方都有很多選擇，最後選擇了來食雞煲。米走雞剛取到開飯熱店之一，當然要打鐵趁熱來吃個痛快。 一眾吃辣的朋友便要了一個麻辣雞煲，麻辣汁是分開而上，要先等雞煲煮熱一陣，才加入辣汁，所以不能打開煲蓋大耐。 加入辣汁之後，還要點火，把整個雞煲燒得紅紅火烈的吸引，原來是加入了酒在辣汁之內，才能燒得紅紅火烈的一樣。燒過之後的雞煲便有一陣酒的香味，雞煲的雞件都幾多，而且都幾大件，雞肉很滑，麻辣味道不算很重，一般人都易於接受。把雞煲吃完便加入麻辣湯底打邊爐。 食個辣雞煲，當然要飲些又凍又有汽的7up解辣。 先來一個涼伴木耳，除了木耳，還有海蜇，再加入酸汁，開胃得來又有少許辣，好惹味。 壽星女要食花膠養顏，所以要了一客花膠。花膠都幾大片和幾厚身，口感都幾滑，膠質又豐富，用上花膠打邊爐都幾滋味。 雪花肥牛來了一碟大的。肥牛切得大片又厚身，但一點都不韌。而且份量一點都不少，價錢數費也算合理。 香脆炸魚皮，沒想到米走雞的食材份量都不少，價錢又不貴，連炸魚皮都幾大盤。直接而吃香脆如薯片，放入鍋吃又能吃出少許麻辣的味道，壽星女把炸魚皮當薯片吃，還吃得很開心。,1
呢排想清清腸胃，今晚搵間素食餐廳食～ 呢間之前有黎飲過茶同食甜品，雖然貴，但質素唔錯，又主打茶同素食，所以一試。 因為餐廳係開大個門口既，唔想食塵既千其唔好坐近門口呀！而且餐廳內一如既往都係好嘈既～ 唔鐘意嘈既人唔好考慮啦😂 今次食左三樣野！唔好以為素食一定係清淡既～ 呢間既素食食材係素，不過用左超多汁去煮，其實都好油膩同濃味！食物係幾好食既～ 好鐘意個炸雲吞，幾特別！但係分量真係太少！連我一個女仔平時唔係大食都完全唔飽😂😂😂 而且價錢唔平，平均一人要$160。 餐廳入面得一個waiter服務態度正常，其他人全部都係態度好差既，扮睇你唔到，企埋一邊大聲傾計... 仲要食過兩次，外賣過3，4次茶，次次我都係叫同一個有熱沖或冷泡既茶，冷泡係平幾蚊既，但次次都收我熱沖個價... 有理由相信佢地特登博你唔睇單～  雖然味道唔錯，不過今次連熱食都試埋，以後唔會再黎lu~ 😬         黑松露野菌意大利麵         韮菜雲耳炸雲吞         芝士波菜雲吞,2
一直受惠於openrice 大神搵到好多好野食， 但今次俾239個正評呃左   叫左三文魚腩壽司，無味。 但之後叫左波菜千層麵&芝士肉醬蛋包飯，真係呢。。。世界級！   好！難！食！   千層面得芝士汁之外乜都無，無波菜，好漏。 蛋包飯，蛋好硬，牛好有so 味 嬲到無心情影相 不得不奉獻第一篇食評,2
🌟<三重雞鍋套餐>🐤🍲 一次過滿足你三願望🕺‼️ 雖然價錢唔平但份量撘夠 二人變三人餐都食得飽🤟🏻🤟🏻         三重雞鍋 #韓式炸雞🍗 大舊厚肉 油脂夠juicy💦 炸粉唔會硬、介口，麻麻地嫩滑可接受啦 同埋有醬點就更好 豈不然有啲dry😅 #春川辣雞🌶(已含年糕、蔬菜、腸仔) 都幾辣下會食到不停飲野🙈 辛辣中帶微微甜口 有啲層次，雞肉比炸雞明顯嫩滑 甚有雞味𠻹😍🙊 不過個人覺得未夠入味 #安東燉雞🐥(已含冬粉、薯仔、雞蛋) 建議同春川辣雞分開碗碟食💁🏻‍♀️ 因為佢雖有獨特嘅醬油甜味 但更加唔夠味👀 同樣滑溜有雞味，冬粉易黐底 煮耐咗都冇過份軟爛 ▫️ 春川同安東都可以加水 冇話加完之後即刻淡果咗好多🤗 配料小魚就揀咗#芝士年糕、#韓式魚餅 同#午餐肉😈 ⭕️魚餅偏厚 彈牙口感佳🙌🏻 ⭕️餐肉厚切有誠意 好似係韓國嗰隻Spam🤤 ❌揀芝士碎會開心啲👉🏻👈🏻 芝士年糕🧀味係有但唔澎湃,1
好的餐廳就係會吸引人一再光顧， 幾日冇見男朋友，今日帶佢去食餐好～             42   餐廳安排我地坐窗邊位，雖然唔係海景， 但燈光街景都好浪漫呀。 芒果蟹肉蝦沙律 真係唔好再話沙律係減肥餐，識得揀其實好好味！ 蝦肉、蟹肉都好新鮮又唔腥，充滿海鮮的甜味， 加上酸甜芒果，清新又醒胃 黑松露蘑菇湯 濃重的菇菌香味，而且飲落有粒粒松露， 好足料架～ 松露煮日本年糕 愛吃松露的朋友，唔好俾佢停！ 一般食松露都係意大利飯、意粉或者係湯咁， 其實配日本年糕都好好味， 咬落煙靭彈牙，超正！             48   原板鮮海膽配紐西蘭聖子白汁扁意粉 海膽控齊來尖叫吧～～～ 份量多到唔係講笑，五格都鋪滿海膽， 難得質素同樣唔錯， 鮮甜又唔腥，超正！ 而且白汁意粉質感都好creamy～ 燒西班牙走地春雞 雞肉超級嫩滑，而且燒得好香口， 味道、口感一流！             1514               1146   因為喉嚨有Ｄ唔舒服所以冇飲酒， 如果想飲酒的話，其實MENU都有好多選擇。 最後以精緻甜品作結。 整體來講，食物質素高，上枱速度快， 環境氣氛都好好，現場仲有live music， 好值得一試～ P.S. 建議BOOK定位，我７點左右到餐廳已經好full了,1
"食完晚飯又係時候食甜品, 已經食過幾次既2DP, 每次都見有新餐牌, 好少可見有咁勤力出新野既餐廳LOL 原來而家仲有外賣飲品~             53   不過我對於佢地既養生甜品感興趣D, 之前已經試過唔少佢地既茶味雪糕, 所以今次叫個熱糖水, 揀左桃膠雪蓮佐黃耳,  以中式碗裝載充滿中國風情, 桃膠係女性保養恩物, 自己都有買黎煲, 都唔平, 除左桃膠仲有黃耳更貴價既食材, 所以貴少少都合理, 即刻覺得自己滋潤左, 哈哈! 另外臨走仲叫左個冷泡古樹月光白茶, 全因為見到餐牌寫左超級氧化!!! 估唔到用個咁靚既樽, 勁重手同重本LOL, 茶香淡然唔濃烈, 飲落順口舒暢。",1
"為食朋友約我到彌敦道""米走雞""食火鍋， 聽講佢 經常去食 ，我未試過，今晚跟佢去試試 约七点去到坐下片刻好快就已經客滿了，睇睇menu好多火鍋配料選擇，價錢都唔貴…… 先來一個小麻辣雞鍋 ， 雞鍋上枱在爐上加熱的同時再用火槍噴出火焰炒一會，這時候 散發出麻辣香氣，食欲高漲……  大大件雞肉夠入味嫩滑，每件都啖啖肉，麻麻辣辣好惹味！ 食完 雞再加上湯 繼續打邊爐…… 雲吞一份有八粒，味道唔錯， 蝦肉 爽 雲吞皮滑 味道鮮美 ，唔錯！ 手打墨魚丸比較靱， 還有芝士丸 ，鮮炸響鈴 比一般的大件， 脆口 ！好味！ 冰豆腐索了湯底好滋味，而蘿白同樣清甜中帶有麻麻口感，菜也很新鲜！  大快朵頤的同 時，喝上一口冰凍啤酒說不出的滋味！ 今晚食得好開懷暢快，米走鷄果然好味！ 值得再试！",2
我久5久就會去下七福神和食亭，因為地點OK都坐得舒服。而且我掛住個好大份的蟹籽沙律，明明是點細份，但大份到連個FRIEND都「嘩」了一聲。 風味椒鹽本菇，覺得第一次來這店時份量大一點。 蒲燒鰻魚，好JUICY厚肉，但似STEAM完再燒，如果可以多少少脆口感會更好。 玻璃蝦壽司OK鮮甜，甘蝦壽司最正，帶子壽司薄了點，三文魚腩特長壽司好似縮了水和油甘魚壽司中規中矩。 芝麻八爪魚，NAN佬勁LIKE，有嚼勁。 赤板魚蛋紫菜手打烏冬，個烏冬好QQ，我相信如果個女都在的話，一定會爭食。 忌廉蟹肉薯餅，有點被騙感，因為似在酒樓食的海鮮卷。 露筍牛肉卷，正常好食。平時好怕食露筍，因為怕有臭青味，但這個完全沒有。 軟殼蟹手卷，軟殼蟹帶點蟹膏，食落特別香和有鮮味。 本來想食個菠蘿雪芭做終結，可惜無貨…這餐三個人食，食了HKD647，都OK抵食。,1
